chrAll chrX chrY Label
Right_ventricle_Schmitt_run3 0.0494696333027026 0.0324199755455133 0.0168243140110383 male
Spleen_Schmitt_run1 0.00946703980241753 0.00526890082244145 0.00359037709461453 male
Spleen_Schmitt_run2 0.0971936382000593 0.0611916446646887 0.0378637756047517 male
Spleen_Schmitt_run3 0.100076690262153 0.0583820670856829 0.0364303192796669 male
Thymus_Leung_run1 0.240493534013258 0.148893820430855 0.0879201340825893 male
Thymus_Leung_run2 0.241747775875635 0.149438632737911 0.0884931112125193 male
Thymus_Leung_run3 0.166473075308489 0.102886150454341 0.0605957127366315 male
Trophectoderm_cell_Dixon_run1 0.107400629865238 0.0700001175973773 0.0422134915581981 male
Trophectoderm_cell_Dixon_run2 0.055946457776754 0.0388382160971327 0.0222504895599425 male
Trophectoderm_cell_Dixon_run3 0.181459908676461 0.119635849307324 0.0647748985342078 male
Germinal_center_Bcell.run1 0.20270335663413 0.131821539475277 0.081841578900602 male
Germinal_center_Bcell.run2 0.257173207496283 0.162409085131177 0.113407586206716 male
Germinal_center_Bcell.run3 0.253003505453873 0.159067108657637 0.115356704474595 male
Glia_Rajarajan.run1 0.0369860786664004 0.0223753843503653 0.0142703283033141 male
Glia_Rajarajan.run10 0.114840215939188 0.0678943683320967 0.0409087672403165 male
Glia_Rajarajan.run11 0.115412327128269 0.0680759489363347 0.040908243016044 male
Glia_Rajarajan.run2 0.0433727852029335 0.0262441778483775 0.0167674356774633 male
Glia_Rajarajan.run3 0.0435219266276636 0.0263491054700757 0.0168357945226077 male
Glia_Rajarajan.run4 0.0435928078800367 0.0263710420271557 0.0169218197257381 male
Glia_Rajarajan.run5 0.057196314867021 0.0335770760607339 0.0203352361800721 male
Glia_Rajarajan.run6 0.0574579662746765 0.0337802599760787 0.020391572815232 male
Glia_Rajarajan.run7 0.0578465649162667 0.0340136603292361 0.0205381808701301 male
Glia_Rajarajan.run8 0.0579609556575253 0.0341254194933963 0.0205890480987128 male
Glia_Rajarajan.run9 0.114951958072326 0.0678965792909607 0.0408820492765574 male
Lung_PatientM_Schmitt.run1 0.0118428300503567 0.007822334010581 0.00455793783451515 male
Lung_PatientM_Schmitt.run2 0.0784675087141047 0.051782950873231 0.030020122348703 male
Lung_PatientM_Schmitt.run3 0.0740823920179347 0.0487394153949194 0.0283044760976885 male
Memory_Bcell.run1 0.280063136735414 0.174069047732647 0.11595449488676 male
Memory_Bcell.run2 0.273733621877793 0.170252266240847 0.131533374345145 male
Memory_Bcell.run3 0.27494591534567 0.171693843463279 0.116529708706919 male
Naive_Bcell.run1 0.255017719743107 0.156565168381019 0.105993360000622 male
Naive_Bcell.run2 0.272238306884478 0.168440933384803 0.124598516288041 male
Naive_Bcell.run3 0.288399321643131 0.177090217279259 0.115152414275571 male
Neuron_Rajarajan.run1 0.0555788116380805 0.0312768841783431 0.018724661947425 male
Neuron_Rajarajan.run10 0.109082802591509 0.0619937613149425 0.0369862591207379 male
Neuron_Rajarajan.run11 0.109691650969904 0.0622901579742926 0.0371550942847934 male
Neuron_Rajarajan.run2 0.0558100488355051 0.0314716536328505 0.0188222899811218 male
Neuron_Rajarajan.run3 0.0560371500087217 0.0316387828972655 0.0188991587336245 male
Neuron_Rajarajan.run4 0.0560986791709518 0.0316436534153435 0.0189811998322832 male
Neuron_Rajarajan.run5 0.0523184648897449 0.0285813536252788 0.0195110857270069 male
Neuron_Rajarajan.run6 0.052546074720212 0.0287544749086449 0.0195670728793184 male
Neuron_Rajarajan.run7 0.052871428358083 0.0289237190032779 0.0196692616641867 male
Neuron_Rajarajan.run8 0.0529199829968039 0.0289579920699635 0.0196831361332676 male
Neuron_Rajarajan.run9 0.109248872234291 0.0620095840901195 0.0369844767582111 male
NPC_Rajarajan.run1 0.081205319521368 0.0476016751890586 0.0293373901302374 male
NPC_Rajarajan.run2 0.0814934710827707 0.0477048660865474 0.0293359397764166 male
NPC_Rajarajan.run3 0.0815751482469967 0.0477241879444488 0.0293738411913241 male
NPC_Rajarajan.run4 0.0706306507246567 0.0405481460485086 0.0238118041851095 male
NPC_Rajarajan.run5 0.0708981890625313 0.0407203637225998 0.0238711114244807 male
NPC_Rajarajan.run6 0.0709312757301067 0.0407209981716652 0.0238711114244807 male
NPC_Rajarajan.run7 0.0335638914489235 0.0193635008309841 0.0113362625238271 male
NPC_Rajarajan.run8 0.087919584961318 0.0507405959187814 0.0296474513133259 male
NPC_Rajarajan.run9 0.0903389050714507 0.0520959329283519 0.0303091970867459 male
Pancreas_PatientM_Schmitt.run1 0.0108688259328827 0.00646884907959545 0.0042180482903168 male
Pancreas_PatientM_Schmitt.run2 0.00593046837862384 0.00404781708025963 0.00246111064076545 male
Pancreas_PatientM_Schmitt.run3 0.00624904619045439 0.00380161239141829 0.00252800165794663 male
Pancreas_PatientM_Schmitt.run4 0.12542320867562 0.082583793178064 0.0559863135526915 male
Plasma_Bcell.run1 0.267406323038085 0.160751039014484 0.112823897427483 male
Plasma_Bcell.run2 0.273096636723016 0.169825807523085 0.121018658627163 male
Plasma_Bcell.run3 0.270336874653805 0.171639293660806 0.117818863563905 male
